id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
85,2008,CR Brathwaite,2008-05-06,CSK,SRH,SRH,CSK,normal,0,SRH,0,7,AC Gilchrist,"MA Chidambaram Stadium, Chepauk"
86,2008,CR Brathwaite,2008-05-07,RR,MI,MI,CSK,normal,0,MI,0,7,A Nehra,Dr DY Patil Sports Academy
87,2008,CR Brathwaite,2008-05-08,DD,CSK,CSK,CSK,normal,0,CSK,0,4,MS Dhoni,Feroz Shah Kotla
88,2008,CR Brathwaite,2008-05-08,KKR,RCB,KKR,CSK,normal,0,KKR,5,0,SC Ganguly,Eden Gardens
89,2008,CR Brathwaite,2008-05-09,SRH,RR,RR,CSK,normal,0,RR,0,8,YK Pathan,Sawai Mansingh Stadium
90,2008,CR Brathwaite,2008-05-28,RCB,MI,MI,CSK,normal,0,MI,0,9,CRD Fernando,M Chinnaswamy Stadium
91,2008,CR Brathwaite,2008-05-10,CSK,KXIP,KXIP,CSK,normal,0,CSK,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk"
92,2008,CR Brathwaite,2008-05-11,KKR,SRH,KKR,CSK,normal,0,KKR,23,0,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal"
93,2008,CR Brathwaite,2008-05-11,DD,RR,RR,CSK,normal,0,RR,0,3,SR Watson,Sawai Mansingh Stadium
94,2008,CR Brathwaite,2008-05-12,RCB,KXIP,RCB,CSK,normal,0,KXIP,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
95,2008,CR Brathwaite,2008-05-13,KKR,DD,KKR,CSK,normal,0,KKR,23,0,Shoaib Akhtar,Eden Gardens
96,2008,CR Brathwaite,2008-05-14,CSK,MI,MI,CSK,normal,0,MI,0,9,ST Jayasuriya,Wankhede Stadium
97,2008,CR Brathwaite,2008-05-28,KXIP,RR,RR,CSK,normal,0,KXIP,41,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
98,2008,CR Brathwaite,2008-05-15,DD,SRH,SRH,CSK,normal,0,DD,12,0,A Mishra,Feroz Shah Kotla
99,2008,CR Brathwaite,2008-05-16,KKR,MI,MI,CSK,normal,0,MI,0,8,SM Pollock,Wankhede Stadium
100,2008,CR Brathwaite,2008-05-17,DD,KXIP,DD,CSK,normal,1,KXIP,6,0,DPMD Jayawardene,Feroz Shah Kotla
101,2008,CR Brathwaite,2008-05-17,RR,RCB,RCB,CSK,normal,0,RR,65,0,GC Smith,Sawai Mansingh Stadium
102,2008,CR Brathwaite,2008-05-18,MI,SRH,SRH,CSK,normal,0,MI,25,0,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal"
103,2008,CR Brathwaite,2008-05-18,KKR,CSK,KKR,CSK,normal,1,CSK,3,0,M Ntini,Eden Gardens
104,2008,CR Brathwaite,2008-05-19,RCB,DD,DD,CSK,normal,0,DD,0,5,SP Goswami,M Chinnaswamy Stadium
105,2008,CR Brathwaite,2008-05-20,KKR,RR,RR,CSK,normal,0,RR,0,6,YK Pathan,Eden Gardens
106,2008,CR Brathwaite,2008-05-21,KXIP,MI,MI,CSK,normal,0,KXIP,1,0,SE Marsh,Wankhede Stadium
107,2008,CR Brathwaite,2008-05-21,RCB,CSK,RCB,CSK,normal,0,RCB,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk"
108,2008,CR Brathwaite,2008-05-23,SRH,KXIP,KXIP,CSK,normal,0,KXIP,0,6,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
109,2008,CR Brathwaite,2008-05-24,MI,DD,DD,CSK,normal,0,DD,0,5,KD Karthik,Feroz Shah Kotla
110,2008,CR Brathwaite,2008-05-24,RR,CSK,RR,CSK,normal,0,RR,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk"
111,2008,CR Brathwaite,2008-05-03,RCB,SRH,SRH,CSK,normal,0,RCB,3,0,P Kumar,M Chinnaswamy Stadium
