id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
386,2013,12,2013-04-06,2,9,2,2,normal,0,2,9,0,KA Pollard,"MA Chidambaram Stadium, Chepauk"
387,2013,2,2013-04-07,4,8,4,2,normal,0,8,0,8,M Vohra,Subrata Roy Sahara Stadium
388,2013,1,2013-04-07,5,1,5,2,tie,0,1,0,0,GH Vihari,"Rajiv Gandhi International Stadium, Uppal"
389,2013,11,2013-04-08,10,6,6,1,normal,0,10,19,0,SK Trivedi,Sawai Mansingh Stadium
390,2013,6,2013-04-09,2,7,2,2,normal,0,2,44,0,KD Karthik,Wankhede Stadium
391,2013,9,2013-04-10,8,9,9,1,normal,0,9,0,10,MEK Hussey,"Punjab Cricket Association Stadium, Mohali"
392,2013,5,2013-04-11,6,5,5,1,normal,0,5,0,8,CH Gayle,M Chinnaswamy Stadium
393,2013,2,2013-04-11,10,4,10,2,normal,0,4,0,7,AJ Finch,Subrata Roy Sahara Stadium
394,2013,8,2013-04-12,7,1,7,2,normal,0,1,0,3,A Mishra,Feroz Shah Kotla
395,2013,6,2013-04-13,2,4,2,2,normal,0,2,41,0,RG Sharma,Wankhede Stadium
396,2013,12,2013-04-13,5,9,9,1,normal,0,9,0,4,RA Jadeja,"MA Chidambaram Stadium, Chepauk"
397,2013,7,2013-04-14,6,1,6,2,normal,0,6,48,0,G Gambhir,Eden Gardens
398,2013,11,2013-04-14,8,10,10,1,normal,0,10,0,6,JP Faulkner,Sawai Mansingh Stadium
399,2013,12,2013-04-15,4,9,4,2,normal,0,4,24,0,SPD Smith,"MA Chidambaram Stadium, Chepauk"
400,2013,9,2013-04-16,8,6,6,1,normal,0,8,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali"
401,2013,5,2013-04-16,7,5,5,1,tie,0,5,0,0,V Kohli,M Chinnaswamy Stadium
402,2013,2,2013-04-17,1,4,4,1,normal,0,1,11,0,A Mishra,Subrata Roy Sahara Stadium
403,2013,11,2013-04-17,10,2,10,2,normal,0,10,87,0,AM Rahane,Sawai Mansingh Stadium
404,2013,8,2013-04-18,9,7,9,2,normal,0,9,86,0,MEK Hussey,Feroz Shah Kotla
405,2013,1,2013-04-19,8,1,8,2,normal,0,1,0,5,GH Vihari,"Rajiv Gandhi International Stadium, Uppal"
406,2013,7,2013-04-20,6,9,6,2,normal,0,9,0,4,RA Jadeja,Eden Gardens
407,2013,5,2013-04-20,10,5,5,1,normal,0,5,0,7,R Vinay Kumar,M Chinnaswamy Stadium
408,2013,8,2013-04-21,2,7,2,2,normal,0,7,0,9,V Sehwag,Feroz Shah Kotla
409,2013,9,2013-04-21,4,8,8,1,normal,0,8,0,7,DA Miller,"Punjab Cricket Association Stadium, Mohali"
410,2013,12,2013-04-22,10,9,10,2,normal,0,9,0,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
411,2013,5,2013-04-23,5,4,4,1,normal,0,5,130,0,CH Gayle,M Chinnaswamy Stadium
412,2013,24,2013-05-16,8,7,7,1,normal,0,8,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium
413,2013,7,2013-04-24,6,2,6,2,normal,0,2,0,5,DR Smith,Eden Gardens
414,2013,12,2013-04-25,1,9,1,2,normal,0,9,0,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk"
415,2013,7,2013-04-26,8,6,8,2,normal,0,6,0,6,JH Kallis,Eden Gardens
416,2013,11,2013-04-27,1,10,1,2,normal,0,10,0,8,JP Faulkner,Sawai Mansingh Stadium
417,2013,6,2013-04-27,2,5,2,2,normal,0,2,58,0,DR Smith,Wankhede Stadium
418,2013,12,2013-04-28,9,6,6,1,normal,0,9,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
